X,      Y
6.74,   364.95    
8.04,   436.01    
7.79,   421.78    
11.46,  557.09    
12.48,  555.73    
8.04,   428.63    
9.05,   457.54    
11.28,  547.42    
13.12,  600.70    
11.57,  568.35    
10.66,  499.73    
7.31,   419.97    
7.53,   429.94    
10.55,  540.97    
15.85,  670.53    
6.82,   367.39    
12.91,  571.15    
13.02,  575.24    
4.54,   294.83    
11.86,  534.24    
9.32,   469.89    
5.75,   332.63    
8.19,   442.94    
5.21,   306.46    
14.41,  616.61    
5.74,   319.34    
12.85,  595.86    
12.11,  534.46    
8.70,   419.45    
9.94,   457.83    
        
