X,      Y
8.79,   336.81    
12.03,  434.40    
11.79,  414.58    
5.32,   282.65    
7.54,   342.43    
11.77,  403.30    
13.76,  470.02    
14.40,  468.69    
10.90,  421.55    
13.79,  459.51    
7.37,   296.92    
14.96,  521.75    
8.52,   352.44    
7.80,   305.87    
5.81,   292.66    
4.15,   227.49    
6.91,   293.83    
11.79,  409.93    
9.91,   382.57    
9.29,   380.35    
12.19,  420.19    
4.75,   270.75    
9.24,   321.07    
8.62,   336.46    
7.12,   307.54    
6.67,   296.73    
10.04,  398.30    
10.86,  399.91    
9.07,   328.06    
13.46,  459.36    
        
