t,y
1,11.8676940888
2,6.9270163252
3,2.6774924817
4,3.4606156915
5,12.1502681951
6,15.7045958844
7,10.6352359892
8,9.7894858353
9,10.6145100344
10,20.4160726753
11,21.5100017597
12,16.2645847223
13,12.8312562035
14,14.1887798872
15,23.6712787126
16,28.3901643453
17,20.8357113589
18,17.4590568655
19,20.2687786975
20,30.221449904
21,32.6632177357
22,27.6734204371
23,25.6093475604
24,26.0859289916
25,33.1001916416
26,34.2057747638
27,30.7504735154
28,29.1524189027
29,29.858363529
30,39.5237731077
31,39.2644610463
32,34.1241332796
33,32.7471523862
34,36.5451601514
